labels,global,basal,her2,lumA,lumB,norm
AKT1,0.004652431,0.0045173713,0.0047779535,0.0046941,0.0046111215,0.0046626357
AKT2,0.0045914073,0.0044984287,0.004556104,0.004623514,0.004574575,0.004648018
MAPK3,0.004526244,0.004273918,0.0043896753,0.0046083997,0.004511197,0.00467793
MAPK1,0.004482283,0.004381799,0.004468338,0.0044746697,0.0044912416,0.0046894816
AKT3,0.004394991,0.00441188,0.004286655,0.0043933038,0.004315763,0.0045992243
PIK3R3,0.0041592475,0.004094224,0.004229233,0.0041921567,0.004124735,0.0041193618
CD40,0.0041480456,0.0042900955,0.004275604,0.004023426,0.0039522657,0.004799658
PIK3CB,0.0041368506,0.00405188,0.0041144826,0.004157931,0.00412567,0.0042153792
PIK3CD,0.004114798,0.0041485946,0.0040816143,0.0041115712,0.0040555345,0.004205867
PIK3CA,0.004082682,0.004048094,0.00402076,0.0040886146,0.0040593636,0.0042010588
PIK3R1,0.0040196315,0.0039648362,0.003978122,0.004033669,0.003985027,0.0041383523
PRKACB,0.0037915034,0.0035677424,0.0035848415,0.003915246,0.0038196282,0.0036542607
CD86,0.0037287313,0.0035320618,0.0036960242,0.0038678213,0.0038937912,0.003087208
GNAS,0.003640274,0.0038030362,0.003763439,0.0035705974,0.003697819,0.003512793
CD40LG,0.0036318256,0.003804833,0.0037458483,0.0035542536,0.0035502508,0.0037903318
RELA,0.0035771495,0.003552139,0.0035855332,0.003591299,0.0035639321,0.003567615
NFKB1,0.0034456104,0.0033768963,0.0034489667,0.0034741617,0.0034096804,0.0034851509
PRKACA,0.0034084066,0.003405818,0.003389466,0.0034057437,0.003362225,0.0035255416
KRAS,0.0032954533,0.0032402258,0.003265216,0.0033253024,0.0033013895,0.0032518671
MAP2K1,0.0032516187,0.0031798256,0.0032022363,0.0032529556,0.0032101225,0.003482609
ADCY9,0.0032345173,0.003064447,0.0031172698,0.003284546,0.0033273818,0.0031915356
HRAS,0.0032178564,0.003178546,0.0032166082,0.0032321906,0.0032328097,0.0031872045
PLCB3,0.0031977543,0.0032977702,0.003268697,0.0031863677,0.0031987831,0.0030275397
CD80,0.0031832927,0.0028517167,0.0027595137,0.003453692,0.0030593937,0.0029316826
ADCY1,0.0031490533,0.0028128799,0.0028054458,0.0032944467,0.0032251028,0.0031091233
ADCY3,0.003147854,0.003137812,0.0031283305,0.0031492517,0.0031276331,0.0032098666
ADCY5,0.0031369054,0.0030539325,0.0030724776,0.0031490088,0.0031941887,0.0031612052
PLCB2,0.0030477028,0.0030964671,0.0030543907,0.0030470216,0.0030230957,0.0030067936
RAF1,0.0030361356,0.002952462,0.0029541973,0.0030483713,0.0030255294,0.0031992553
CD28,0.0030338052,0.0033160339,0.003272045,0.0028908732,0.0032511961,0.0026890629
PLCB4,0.0030157804,0.003127459,0.0031264191,0.0029615331,0.0030322014,0.002984545
NRAS,0.002975121,0.0030385458,0.0028809253,0.0029702585,0.0029380047,0.0030261197
ADCY6,0.0029671977,0.0028810184,0.002922005,0.0029790641,0.00296059,0.0031024904
MAP2K2,0.0029621683,0.002938122,0.0029116955,0.0030032804,0.0028858788,0.002974077
PLCB1,0.0029517454,0.0029195468,0.0029547927,0.0029511494,0.0029563762,0.003000118
ADCY2,0.002901972,0.003003972,0.0030959146,0.0028751977,0.0028417606,0.0028300688
FAS,0.002887038,0.0031580236,0.00278784,0.0027975666,0.0026913797,0.00330058
MAPK8,0.002883865,0.0028585063,0.002868537,0.0028947482,0.0028747283,0.0029011066
FASLG,0.0028685366,0.0027048537,0.0029375437,0.0028839947,0.0030305416,0.0027260724
MAPK9,0.0028638488,0.0028598397,0.0028418165,0.002873842,0.0028304195,0.0028981618
ADCY7,0.002718468,0.0029540034,0.0026632934,0.0026586414,0.002666204,0.0027468498
TNF,0.002706144,0.002910431,0.0026708215,0.0026585504,0.0027002986,0.0026269362
TP53,0.0026958897,0.0025046715,0.0026270912,0.002760872,0.0026673316,0.002803634
GNAQ,0.0026630776,0.0025590477,0.0026278915,0.0026808374,0.002694104,0.0027228433
ADCY4,0.0025855724,0.0025316689,0.0025351287,0.0025944654,0.0025538728,0.0027298394
PRKCA,0.0025689388,0.0027118537,0.0025346112,0.0025139917,0.0024982593,0.0027530717
