label,global,basal,her2,lumA,lumB,norm
path:hsa04657,0.06385198,0.052838195,0.05635565,0.082493365,0.056785874,0.007365629
path:hsa04914,0.050696164,0.051512297,0.054568335,0.05608197,0.05923062,0.0034635046
path:hsa04114,0.047310334,0.0515249,0.054550484,0.049265653,0.058926865,0.0033428662
path:hsa04512,0.046918403,0.037484117,0.040191155,0.064763054,0.032811552,0.0041681295
path:hsa00380,0.03782983,0.042057276,0.049938742,0.040013548,0.03939369,0.007746274
path:hsa05219,0.033996657,0.050599422,0.05089706,0.027997542,0.04262409,0.0071450355
path:hsa04218,0.03354245,0.051512837,0.051560886,0.022979403,0.054284923,0.0041498374
path:hsa05214,0.021990988,0.044566717,0.032360993,0.013804199,0.028911937,0.0036760524
path:hsa00270,0.01987662,0.03759395,0.029554185,0.014976154,0.021553641,0.0036268479
path:hsa04970,0.017015195,0.027270105,0.01841929,0.016105663,0.014740644,0.0069213537
path:hsa00310,0.014341203,0.033694975,0.019235158,0.007672811,0.018226516,0.003559009
path:hsa00100,0.012851977,0.017659409,0.01735305,0.009059361,0.019203097,0.008622224
path:hsa05150,0.012493059,0.0022291471,0.0070546824,0.019391501,0.010321279,0.0034914932
path:hsa04670,0.01176961,0.031687077,0.018233346,0.0061016507,0.009062132,0.0060041733
path:hsa04530,0.011228007,0.010340766,0.006097678,0.010924024,0.019353982,0.003004402
path:hsa04110,0.010935847,0.031252883,0.013948788,0.0026785652,0.0173061,0.0032722163
path:hsa05220,0.010597281,0.038232785,0.009651159,0.0027202237,0.010355321,0.0033562183
path:hsa00232,0.010517962,0.0031477388,0.005860134,0.014815775,0.01088222,0.0043559796
path:hsa04978,0.010462474,0.012391017,0.0109388875,0.010949094,0.01106605,0.0031794114
path:hsa00400,0.010357759,0.011848634,0.015058238,0.009101646,0.01450105,0.0030318068
path:hsa00592,0.010354536,0.0033394385,0.02059461,0.011728738,0.013115183,0.0031035887
path:hsa00600,0.009787879,0.004806228,0.0058080098,0.011984579,0.013748923,0.0029344794
path:hsa05414,0.008920357,0.0025228432,0.0068619885,0.010806703,0.013696074,0.0032023878
path:hsa00350,0.00864546,0.002123732,0.027115883,0.00793883,0.010866493,0.0060746614
path:hsa05166,0.008452197,0.023815703,0.007543109,0.003361634,0.011064774,0.003218662
path:hsa04935,0.008241041,0.004192992,0.005614174,0.009955539,0.011120888,0.0032145279
path:hsa05215,0.007819791,0.009125652,0.017680874,0.0039448505,0.015859434,0.0030980415
path:hsa04961,0.007659724,0.007326239,0.0011155261,0.009281912,0.008356372,0.003504377
path:hsa04261,0.007421479,0.0016389469,0.0022733908,0.0108182,0.008362112,0.0023346033
path:hsa00591,0.0069947387,0.002472947,0.009520168,0.008170468,0.0092113875,0.0030044203
path:hsa03440,0.006257212,0.010461981,0.005038904,0.003895869,0.010687715,0.00354844
path:hsa00520,0.0061192564,0.004902078,0.008190134,0.0061909403,0.007418085,0.003974008
path:hsa04927,0.005645384,0.0031780412,0.008861307,0.0070235785,0.0041166097,0.0034765594
path:hsa04972,0.0055159437,0.012488211,0.0036624689,0.004330303,0.0040355064,0.0034350893
path:hsa00534,0.005251926,0.013558238,0.0039151604,0.0040331404,0.0022634128,0.0034271285
path:hsa00601,0.005210385,0.0028195798,0.013531353,0.004934208,0.0061055673,0.0030800481
path:hsa00010,0.0049861907,0.005331694,0.005916616,0.0043997546,0.0061196187,0.0045755766
path:hsa04919,0.0049228943,0.0044100313,0.002813285,0.0056727193,0.004992105,0.0034308694
path:hsa04216,0.004733822,0.008453443,0.0030631735,0.0040508644,0.0045211455,0.0033059113
path:hsa05216,0.0047229943,0.0015097747,0.0015037422,0.0055292533,0.007746904,0.0029938754
path:hsa04068,0.004660045,0.010540231,0.008593434,0.0023458074,0.0046214513,0.0033199016
path:hsa05210,0.0043119406,0.003469642,0.0018704177,0.0041196444,0.007465175,0.0026917118
path:hsa04260,0.0041103745,0.0025070354,0.0054503675,0.003993356,0.006566667,0.001981466
path:hsa00563,0.004050814,0.0007410902,0.02442908,0.0020575374,0.005177036,0.0030223099
path:hsa00603,0.0039612013,0.0026714709,0.0028549628,0.0044802357,0.0045164833,0.00336267
path:hsa04911,0.0037445533,0.001958279,0.0015350231,0.0048391456,0.0038315593,0.0027700306
path:hsa05223,0.00359872,0.0057680365,0.0058897673,0.0022401938,0.0045491476,0.0032611815
path:hsa05322,0.0035471558,0.003262429,0.0031091066,0.0033588905,0.0047693714,0.0030521827
path:hsa04721,0.0035362863,0.0012939071,0.002433668,0.0038564317,0.0053251837,0.003319263
path:hsa04744,0.0035062328,0.0054511554,0.008135921,0.0025967686,0.0024653524,0.003276685
path:hsa05410,0.0032113455,0.005568587,0.009868672,0.0019915525,0.0026193417,0.0015295191
path:hsa00532,0.0031076283,0.0048563452,0.003948111,0.0026621416,0.0022880817,0.003215974
path:hsa04614,0.003053881,0.004385382,0.0011705315,0.002906504,0.0028282565,0.0032612956
path:hsa04918,0.0026339998,0.0010474916,0.0024485101,0.0032943534,0.0020343957,0.0033066415
path:hsa05110,0.0025508443,0.00120998,0.0032842734,0.0025166646,0.003253776,0.00322885
path:hsa04022,0.0025215247,0.0012230616,0.0017206267,0.0032105877,0.0016331477,0.003527623
path:hsa05160,0.0025149984,0.0026741624,0.001968556,0.0022184115,0.0029799573,0.0032727702
path:hsa05030,0.0022691025,0.001276202,0.0032830946,0.0019500661,0.003297222,0.0029748415
path:hsa00230,0.0022207866,0.0018247984,0.0018145461,0.0022752888,0.0019173152,0.0034918103
path:hsa04728,0.00202138,0.0007394867,0.001725974,0.002609946,0.0010473153,0.00329806
path:hsa04973,0.0019364699,0.0009930873,0.0007647655,0.002040457,0.0023075563,0.0032195766
path:hsa00440,0.0019075182,0.0018271399,0.0015131109,0.0015805179,0.0023883479,0.0030968932
