labels,global,basal,her2,lumA,lumB,norm
AKT3,0.004790242,0.00480322,0.0048165414,0.004774933,0.004945723,0.00453832
CD40LG,0.0047165337,0.0044931974,0.0045382744,0.004807334,0.0048685027,0.0044953446
PIK3R1,0.004566064,0.0048844228,0.0044304607,0.004482685,0.0048237517,0.004054171
MAPK3,0.004543194,0.0045302017,0.0044687986,0.004550565,0.004505723,0.004651892
MAPK1,0.0045202347,0.004492991,0.0044814046,0.0045230254,0.0044872556,0.0046428023
AKT2,0.0043822685,0.0043364745,0.0044288323,0.0043751663,0.004340857,0.004540799
AKT1,0.0043306057,0.0042713066,0.004364479,0.0043169037,0.004306467,0.004523281
PIK3CD,0.0040255743,0.0039644553,0.0039276755,0.00401487,0.004103473,0.004113179
PIK3CA,0.0039854767,0.0038741713,0.0040013655,0.0040371683,0.003869647,0.00412102
PIK3R3,0.003951357,0.0038181578,0.0039765155,0.0039905733,0.003916975,0.0040307464
CD80,0.0038622767,0.004052468,0.004306612,0.0037372895,0.0041908743,0.0032320742
PIK3CB,0.0038358928,0.0038169336,0.003779716,0.0038319689,0.0037665616,0.0040577734
ADCY5,0.003811268,0.004370387,0.0039882753,0.0037474679,0.0038123943,0.003028375
PRKACB,0.0034146672,0.0032543065,0.0031810596,0.0034772204,0.0034448898,0.003491773
CD40,0.0033949055,0.003418254,0.0032867694,0.0034097694,0.0032406359,0.0036428843
MAP2K1,0.003375055,0.003347361,0.0033371053,0.003382449,0.0033352664,0.0034871004
RELA,0.0033659393,0.0033524295,0.0033096836,0.0033739316,0.0033107772,0.003491946
PLCB1,0.0032773986,0.0031478687,0.0031232748,0.0033862372,0.0033425468,0.0029445887
NFKB1,0.0032597336,0.0032299636,0.003206733,0.003270648,0.0031960574,0.003412716
ADCY1,0.0031992502,0.003609476,0.0036577694,0.0030195597,0.0029762378,0.003471813
GNAS,0.0031788154,0.0031832883,0.003208273,0.0031407163,0.003159638,0.00337763
ADCY4,0.0031682774,0.0033658529,0.0034746553,0.0030387244,0.003493081,0.0026554025
PRKACA,0.0031615545,0.0031060912,0.0030824495,0.0031633577,0.0030823671,0.003452998
KRAS,0.003104237,0.0030672953,0.0030429326,0.0031047566,0.0031129362,0.0031944085
RAF1,0.003079983,0.0030819182,0.0030443058,0.003082778,0.0030356292,0.0031704127
HRAS,0.003079979,0.0030493592,0.003062967,0.003069546,0.0030909008,0.003178221
PLCB4,0.0030406343,0.0028392363,0.0027790596,0.0031559742,0.0031088593,0.002872553
FASLG,0.003020118,0.003121722,0.0031767525,0.0029773102,0.0029669325,0.0030439917
ADCY2,0.003013536,0.0029461929,0.0029433449,0.0030248608,0.0032088757,0.0027633593
CD28,0.0030096753,0.0028665888,0.002860121,0.0030985049,0.0028056134,0.003296214
ADCY9,0.0029852167,0.0029784706,0.0028849992,0.0029908218,0.002948746,0.0031088379
ADCY3,0.0029818495,0.0028380519,0.0030453724,0.0030234475,0.0029068294,0.0031149993
CD86,0.0029602277,0.0030351337,0.002976326,0.002887813,0.003031877,0.0030513506
PRKCA,0.0029298528,0.0027139026,0.0028945645,0.002993867,0.0031107971,0.0026737973
MAP2K2,0.0029281653,0.0029227072,0.0028978009,0.0029280058,0.0029051455,0.0030030962
NRAS,0.002911182,0.0029507622,0.0029159093,0.0028899983,0.0028846753,0.002994818
MAPK9,0.0028553016,0.0027492149,0.002849405,0.002868708,0.0029003546,0.0028934518
ADCY6,0.002832395,0.0030553762,0.0028194534,0.002761491,0.0027208913,0.0030175673
PLCB3,0.0027949563,0.0028199665,0.0028500159,0.0027821606,0.0027545064,0.0028508676
MAPK8,0.0027853989,0.0027744703,0.0027421622,0.0027831548,0.0027509825,0.0029108182
GLS,0.002764995,0.0032848846,0.002715344,0.0026407891,0.0026524866,0.002730367
PLCB2,0.0027313328,0.002704419,0.002680205,0.0027252107,0.0026764004,0.0029478895
FAS,0.0027063463,0.0026425743,0.002599293,0.0027095962,0.0027054804,0.002880388
TNF,0.002694734,0.0028861074,0.0026191731,0.0026580535,0.0026277553,0.002725158
TP53,0.0026015125,0.002791263,0.0026243085,0.0025147828,0.0025540744,0.0027801618
PRKCB,0.0025637802,0.0025376275,0.0025631057,0.002585257,0.0025469628,0.0025324419
ADCY7,0.0024987883,0.0024143332,0.0023714975,0.0025189295,0.002420647,0.002781144
GNAQ,0.002432129,0.002437056,0.0024061117,0.0024109888,0.0024186326,0.0025742073
IKBKB,0.0024041624,0.002291988,0.002327649,0.0024520748,0.0024035475,0.0024142766
MAPK13,0.0023917707,0.0023544019,0.002367349,0.0023943225,0.0024147588,0.002419228
JUN,0.0023624846,0.0023448933,0.0024008162,0.002347092,0.0024336814,0.0023114383
EGFR,0.0023318182,0.0019553164,0.002315239,0.0024861386,0.00256236,0.0017940328
GNAI1,0.0022962245,0.001993844,0.0022196083,0.002463865,0.0023407608,0.0019495046
MAPK12,0.0022956496,0.0023270645,0.0022420962,0.0022756401,0.0023255178,0.0023256135
MAPK11,0.002259968,0.0022726126,0.0022296412,0.0022440795,0.002255883,0.002347773
MAPK14,0.0022259417,0.0022292985,0.0022106126,0.0022140273,0.002212091,0.0023170325
IL6,0.0021813104,0.002034688,0.0022037148,0.0022272111,0.00222312,0.0021113988
CALML5,0.002141705,0.0020624774,0.002084679,0.0021638055,0.0020960772,0.002293923
FOS,0.002105059,0.0021306225,0.002137818,0.0021010218,0.002136829,0.0019983586
TAT,0.0020082346,0.0020725385,0.00193971,0.0020314432,0.0021021469,0.0016548887
BAX,0.0019777108,0.0020282653,0.0019111126,0.0019848933,0.0019682236,0.0019191621
CREB5,0.001958866,0.0017674537,0.0019819064,0.002048793,0.0020766652,0.0016035598
CHUK,0.001922837,0.0018930801,0.0019044352,0.0019137491,0.0019278411,0.0020247349
MTOR,0.0019147428,0.0018889359,0.0018924559,0.0019219135,0.0018919234,0.001981878
GLUD1,0.0018415201,0.0018085598,0.0018007634,0.0018520735,0.0018422515,0.001873877
IL1B,0.0018308231,0.0018272857,0.0017889699,0.0018281487,0.0018047547,0.0019290897
GLUD2,0.0018294796,0.0018696607,0.0018326197,0.0018201278,0.0017937911,0.001870413
CALM3,0.0018142347,0.0017968745,0.0017878021,0.0018181875,0.0018191942,0.0018345356
IGF1,0.0018140271,0.0018948028,0.0019611346,0.001783037,0.0020035887,0.0013724448
CALM2,0.0018050538,0.0018117926,0.0017982557,0.0017996163,0.0018009903,0.0018332275
BRAF,0.0017954534,0.0017867725,0.0018319807,0.0017951234,0.0017728118,0.001827627
CREB1,0.0017881647,0.0017788461,0.0017691683,0.0017857304,0.0017689688,0.0018659967
SOS1,0.0017753977,0.0017287497,0.0017376934,0.0018012282,0.0017414929,0.0018162653
SOS2,0.0017531246,0.0017777414,0.0017205848,0.0017493375,0.001726735,0.0018017703
CALM1,0.0017499501,0.0017284693,0.0017430835,0.0017396415,0.0017524575,0.001839831
IKBKG,0.0017190236,0.0017053725,0.0017295356,0.0017190417,0.0017062855,0.0017586612
GRB2,0.0016745692,0.0016359575,0.0016622394,0.0016796336,0.0016813177,0.0017127582
NFKBIA,0.0016731911,0.001657791,0.0016404369,0.0016712075,0.0016279059,0.0018175907
HLCS,0.0016656553,0.0017406244,0.0016691769,0.001647123,0.0016584492,0.0016393953
TLR4,0.0016607083,0.0017012047,0.0015836664,0.0016953099,0.0016100982,0.0015647782
GNAI3,0.0016592286,0.0016781893,0.0016469478,0.0016388078,0.0016402769,0.0017733242
CASP3,0.0016244159,0.0016099509,0.0017109781,0.0015930373,0.0016863435,0.0016308408
BTD,0.0016130332,0.0015380642,0.0016095118,0.0016315655,0.0016202392,0.0016392934
GNAI2,0.0016094145,0.0015798208,0.0015696818,0.0016105656,0.0015590971,0.00177709
ATF4,0.0015990611,0.0015929873,0.0015805935,0.0015999194,0.0015813538,0.0016514651
CREB3L1,0.0015678566,0.0015240284,0.0015676152,0.0015910045,0.0015334798,0.001591052
DGLUCY,0.0015616728,0.0010734161,0.0016050995,0.0016769753,0.001661645,0.001613841
RB1,0.0015585872,0.0017769852,0.0015451447,0.0015051523,0.0015250237,0.0015196919
CREB3L4,0.0015424361,0.0015184414,0.0015300662,0.0015368282,0.0014973435,0.0017049825
CAMK2B,0.001539092,0.0017072093,0.0015881759,0.0014852082,0.0014616443,0.001625909
GSK3B,0.001532693,0.0015176076,0.001514806,0.0015356566,0.001514782,0.0015901235
CREB3L2,0.0015311171,0.0014953337,0.0015036496,0.0015380254,0.0015384449,0.0015649727
IL4I1,0.00149291,0.0015676214,0.0015258788,0.0014714934,0.0014872322,0.0014574634
ALDH2,0.0014907862,0.0015389504,0.0013316397,0.0014985008,0.0015406645,0.001391073
CREB3,0.001480094,0.0014743344,0.0014735034,0.0014727869,0.0014670518,0.0015559649
BCL2,0.0014716801,0.0016585847,0.0017245242,0.0014085389,0.0014112935,0.0013931044
ARAF,0.0014701298,0.0014746005,0.001446762,0.001468441,0.00144048,0.0015426686
