label,global,basal,her2,lumA,lumB,norm
path:hsa00380,0.0070913634,0.007909029,0.008454914,0.006922946,0.0077098934,0.004383471
path:hsa04260,0.006909402,0.004738747,0.0066748727,0.0073084156,0.006564959,0.00948456
path:hsa04061,0.0067567597,0.007039109,0.007412965,0.006803682,0.006301284,0.0063936715
path:hsa04216,0.0067452798,0.006067229,0.0070498004,0.007294533,0.007433494,0.003658051
path:hsa00400,0.006456525,0.0059624626,0.005605025,0.006848272,0.0069086654,0.005120002
path:hsa00980,0.006275599,0.004628292,0.005895255,0.00720584,0.0061461586,0.0049622343
path:hsa04062,0.0062706764,0.0067668036,0.006297728,0.006235954,0.006628216,0.0049002836
path:hsa05204,0.006234554,0.004463205,0.0053972276,0.007129949,0.005889321,0.0060443203
path:hsa04920,0.0062078848,0.0058306935,0.0062375506,0.006643804,0.006874514,0.0034081836
path:hsa05323,0.0061966735,0.006738417,0.00655526,0.0061216075,0.006121286,0.0055107395
path:hsa04979,0.0061709513,0.005748046,0.006306186,0.0065687476,0.00628448,0.0045899763
path:hsa05032,0.006140631,0.0078076352,0.0066123162,0.0056811804,0.00726629,0.003131811
path:hsa00350,0.006087066,0.0040437714,0.007349843,0.006603142,0.006006474,0.006274191
path:hsa00830,0.006002705,0.004705406,0.005997974,0.0066944305,0.0059417137,0.0048852377
path:hsa04971,0.0059917467,0.006527901,0.00609779,0.006032673,0.0064592264,0.0039086915
path:hsa00561,0.0059771608,0.005903198,0.005749402,0.006295123,0.006677619,0.003369163
path:hsa00053,0.0059279595,0.005193417,0.0054738373,0.0064337435,0.005939083,0.0049616653
path:hsa05034,0.005895955,0.0057136808,0.0066810017,0.005946299,0.0070759845,0.0032070824
path:hsa00565,0.005886338,0.0053074197,0.0056285276,0.0063208267,0.0062939725,0.004133227
path:hsa00790,0.005858155,0.0058516823,0.0060005747,0.006120115,0.0064413236,0.0033637881
path:hsa00983,0.005810803,0.0038657996,0.0047861855,0.00618847,0.0053647268,0.008861801
path:hsa00360,0.005793524,0.0049304706,0.0057243216,0.0061926716,0.0053622983,0.006129053
path:hsa00340,0.0057651503,0.0045161606,0.0056679645,0.006483952,0.005758152,0.0043938947
path:hsa04261,0.005757234,0.0038805476,0.004246005,0.0061951694,0.004844738,0.009600393
path:hsa04727,0.0057511684,0.0058426615,0.00612446,0.0058207,0.0066025765,0.0033947367
path:hsa00982,0.0057332246,0.0044966545,0.005053615,0.0067527094,0.005512808,0.0036383385
path:hsa04922,0.005662288,0.005333456,0.0057019386,0.006059652,0.0057935794,0.0039560366
path:hsa00410,0.0056384145,0.004007563,0.0049028546,0.00651504,0.005698763,0.0044740587
path:hsa04726,0.0056214887,0.005627952,0.005992783,0.0057444284,0.0060853246,0.003861695
path:hsa04924,0.0056131207,0.005667567,0.006094589,0.005897754,0.00606153,0.0029011734
path:hsa00071,0.005525091,0.0045767413,0.0051504243,0.006139735,0.005681139,0.004055854
path:hsa04728,0.0055059204,0.00541766,0.0059304973,0.0056167855,0.0064297626,0.003082814
path:hsa00232,0.005489394,0.0032901873,0.0042056898,0.0063016145,0.0051136366,0.006845674
path:hsa05171,0.0054476405,0.0053862976,0.005700685,0.005473527,0.0057267784,0.0047238017
path:hsa04713,0.005443602,0.004834623,0.005569507,0.0057811514,0.00575665,0.0041292543
path:hsa04975,0.005441063,0.005254079,0.0051727416,0.005893781,0.005037022,0.004421429
path:hsa05120,0.005434363,0.0051583117,0.0053978534,0.005672197,0.006102504,0.00350454
path:hsa00650,0.0054238136,0.0039585833,0.0046986598,0.0059683574,0.005272975,0.00603187
path:hsa04926,0.0053982926,0.005584042,0.0062007564,0.005316427,0.006364369,0.0031189772
path:hsa04913,0.0053920113,0.004563527,0.0049743494,0.005941618,0.0058652484,0.0034869506
path:hsa05167,0.005388282,0.005482035,0.006038217,0.005395099,0.0062840716,0.0030618988
path:hsa04020,0.005378735,0.005273332,0.006243313,0.0054758484,0.006129394,0.0030559616
path:hsa04740,0.005355753,0.005010961,0.0057834787,0.0056201187,0.0058424706,0.003410351
path:hsa05200,0.0053430363,0.0072628297,0.006761568,0.004441446,0.006706926,0.0029999244
path:hsa05020,0.0052445903,0.004589147,0.004551377,0.0058889333,0.0047332244,0.004580175
path:hsa04672,0.0051881582,0.006254038,0.005075843,0.0048586973,0.005314878,0.0048418925
path:hsa05416,0.0051694917,0.0057713618,0.0058830474,0.0049368455,0.0058744764,0.003474031
path:hsa04936,0.005147443,0.0048428024,0.0049407957,0.0054673143,0.005612229,0.0033525073
path:hsa04978,0.005080811,0.0050928453,0.005207243,0.005343225,0.004990384,0.0038093503
path:hsa03460,0.005051392,0.006755318,0.0061491225,0.003875035,0.0072318134,0.0031956693
path:hsa00430,0.0050400845,0.004227657,0.005600865,0.005451945,0.0053300043,0.0034320983
