embed_dim,hidden_dims,lr,config
16,0,0.0001,embeddim16_hiddendims0_lr1e-4
16,0,0.0005,embeddim16_hiddendims0_lr5e-4
16,0,0.001,embeddim16_hiddendims0_lr1e-3
16,0,0.005,embeddim16_hiddendims0_lr5e-3
16,1,0.0001,embeddim16_hiddendims1_lr1e-4
16,1,0.0005,embeddim16_hiddendims1_lr5e-4
16,1,0.001,embeddim16_hiddendims1_lr1e-3
16,1,0.005,embeddim16_hiddendims1_lr5e-3
16,2,0.0001,embeddim16_hiddendims2_lr1e-4
16,2,0.0005,embeddim16_hiddendims2_lr5e-4
16,2,0.001,embeddim16_hiddendims2_lr1e-3
16,2,0.005,embeddim16_hiddendims2_lr5e-3
16,3,0.0001,embeddim16_hiddendims3_lr1e-4
16,3,0.0005,embeddim16_hiddendims3_lr5e-4
16,3,0.001,embeddim16_hiddendims3_lr1e-3
16,3,0.005,embeddim16_hiddendims3_lr5e-3
16,4,0.0001,embeddim16_hiddendims4_lr1e-4
16,4,0.0005,embeddim16_hiddendims4_lr5e-4
16,4,0.001,embeddim16_hiddendims4_lr1e-3
16,4,0.005,embeddim16_hiddendims4_lr5e-3
32,0,0.0001,embeddim32_hiddendims0_lr1e-4
32,0,0.0005,embeddim32_hiddendims0_lr5e-4
32,0,0.001,embeddim32_hiddendims0_lr1e-3
32,0,0.005,embeddim32_hiddendims0_lr5e-3
32,1,0.0001,embeddim32_hiddendims1_lr1e-4
32,1,0.0005,embeddim32_hiddendims1_lr5e-4
32,1,0.001,embeddim32_hiddendims1_lr1e-3
32,1,0.005,embeddim32_hiddendims1_lr5e-3
32,2,0.0001,embeddim32_hiddendims2_lr1e-4
32,2,0.0005,embeddim32_hiddendims2_lr5e-4
32,2,0.001,embeddim32_hiddendims2_lr1e-3
32,2,0.005,embeddim32_hiddendims2_lr5e-3
32,3,0.0001,embeddim32_hiddendims3_lr1e-4
32,3,0.0005,embeddim32_hiddendims3_lr5e-4
32,3,0.001,embeddim32_hiddendims3_lr1e-3
32,3,0.005,embeddim32_hiddendims3_lr5e-3
32,4,0.0001,embeddim32_hiddendims4_lr1e-4
32,4,0.0005,embeddim32_hiddendims4_lr5e-4
32,4,0.001,embeddim32_hiddendims4_lr1e-3
32,4,0.005,embeddim32_hiddendims4_lr5e-3
64,0,0.0001,embeddim64_hiddendims0_lr1e-4
64,0,0.0005,embeddim64_hiddendims0_lr5e-4
64,0,0.001,embeddim64_hiddendims0_lr1e-3
64,0,0.005,embeddim64_hiddendims0_lr5e-3
64,1,0.0001,embeddim64_hiddendims1_lr1e-4
64,1,0.0005,embeddim64_hiddendims1_lr5e-4
64,1,0.001,embeddim64_hiddendims1_lr1e-3
64,1,0.005,embeddim64_hiddendims1_lr5e-3
64,2,0.0001,embeddim64_hiddendims2_lr1e-4
64,2,0.0005,embeddim64_hiddendims2_lr5e-4
64,2,0.001,embeddim64_hiddendims2_lr1e-3
64,2,0.005,embeddim64_hiddendims2_lr5e-3
64,3,0.0001,embeddim64_hiddendims3_lr1e-4
64,3,0.0005,embeddim64_hiddendims3_lr5e-4
64,3,0.001,embeddim64_hiddendims3_lr1e-3
