embed_dim,hidden_dims,lr,config,metric,mean,sd,ci
16,0,0.0001,embeddim16_hiddendims0_lr1e-4,best_epoch,299.0,0.0,0.0
16,0,0.0001,embeddim16_hiddendims0_lr1e-4,loss,0.5878710687160492,0.03325700735869468,0.041294028725288916
16,0,0.0001,embeddim16_hiddendims0_lr1e-4,mae,0.5720104217529297,0.01235648777712648,0.01534260601710283
16,0,0.0001,embeddim16_hiddendims0_lr1e-4,mse,0.712094497680664,0.032241277503864046,0.040032833532645
16,0,0.0001,embeddim16_hiddendims0_lr1e-4,num_epochs,299.0,0.0,0.0
16,0,0.0001,embeddim16_hiddendims0_lr1e-4,r2,0.8140061855316162,0.007983884271039868,0.009913301665175522
16,0,0.0001,embeddim16_hiddendims0_lr1e-4,rmse,0.8436808943748474,0.019269328740936686,0.023926031767174203
16,0,0.0001,embeddim16_hiddendims0_lr1e-4,time,40.195960621908306,3.0308170400750054,3.763256403803636
16,0,0.0005,embeddim16_hiddendims0_lr5e-4,best_epoch,297.4,3.0495901363953757,3.786566281639459
16,0,0.0005,embeddim16_hiddendims0_lr5e-4,loss,0.25878669470548626,0.017971581176317832,0.02231466533743035
16,0,0.0005,embeddim16_hiddendims0_lr5e-4,mae,0.5647943258285523,0.012808384635796682,0.015903710077414993
16,0,0.0005,embeddim16_hiddendims0_lr5e-4,mse,0.6979526519775391,0.03495978716977992,0.04340830911358168
16,0,0.0005,embeddim16_hiddendims0_lr5e-4,num_epochs,299.0,0.0,0.0
16,0,0.0005,embeddim16_hiddendims0_lr5e-4,r2,0.8177285194396973,0.0079405053557035,0.009859439627721223
16,0,0.0005,embeddim16_hiddendims0_lr5e-4,rmse,0.8352243304252625,0.02100480435722004,0.02608090935967372
16,0,0.0005,embeddim16_hiddendims0_lr5e-4,time,36.364360376447436,2.231059145832515,2.770225819243479
16,0,0.001,embeddim16_hiddendims0_lr1e-3,best_epoch,270.0,50.80846386184098,63.08704038128504
16,0,0.001,embeddim16_hiddendims0_lr1e-3,loss,0.17633742392063137,0.033368722927923256,0.04143274192563888
16,0,0.001,embeddim16_hiddendims0_lr1e-3,mae,0.5627482295036316,0.012753305221167497,0.01583531995122782
16,0,0.001,embeddim16_hiddendims0_lr1e-3,mse,0.6934665560722351,0.03450581212578303,0.042844624645367785
16,0,0.001,embeddim16_hiddendims0_lr1e-3,num_epochs,275.4,49.4853513678543,61.444179231928196
16,0,0.001,embeddim16_hiddendims0_lr1e-3,r2,0.8189030170440674,0.007725632272798641,0.00959263945649523
16,0,0.001,embeddim16_hiddendims0_lr1e-3,rmse,0.832539176940918,0.02076925031497708,0.025788430385789294
16,0,0.001,embeddim16_hiddendims0_lr1e-3,time,31.624048997461795,5.855576785500528,7.270658883273743
16,0,0.005,embeddim16_hiddendims0_lr5e-3,best_epoch,198.6,134.37001153531244,166.84240576162227
16,0,0.005,embeddim16_hiddendims0_lr5e-3,loss,0.10278400592505928,0.07988695134070803,0.09919275140601329
