norm_class,libnorm,znorm,learnable,config
RawCounts,False,False,False,normclassRawCounts_libnormFalse_znormFalse_learnableFalse
RawCounts,False,False,True,normclassRawCounts_libnormFalse_znormFalse_learnableTrue
RawCounts,False,True,False,normclassRawCounts_libnormFalse_znormTrue_learnableFalse
RawCounts,False,True,True,normclassRawCounts_libnormFalse_znormTrue_learnableTrue
RawCounts,True,False,False,normclassRawCounts_libnormTrue_znormFalse_learnableFalse
RawCounts,True,False,True,normclassRawCounts_libnormTrue_znormFalse_learnableTrue
RawCounts,True,True,False,normclassRawCounts_libnormTrue_znormTrue_learnableFalse
RawCounts,True,True,True,normclassRawCounts_libnormTrue_znormTrue_learnableTrue
LogCounts,False,False,False,normclassLogCounts_libnormFalse_znormFalse_learnableFalse
LogCounts,False,False,True,normclassLogCounts_libnormFalse_znormFalse_learnableTrue
LogCounts,False,True,False,normclassLogCounts_libnormFalse_znormTrue_learnableFalse
LogCounts,False,True,True,normclassLogCounts_libnormFalse_znormTrue_learnableTrue
LogCounts,True,False,False,normclassLogCounts_libnormTrue_znormFalse_learnableFalse
LogCounts,True,False,True,normclassLogCounts_libnormTrue_znormFalse_learnableTrue
LogCounts,True,True,False,normclassLogCounts_libnormTrue_znormTrue_learnableFalse
LogCounts,True,True,True,normclassLogCounts_libnormTrue_znormTrue_learnableTrue
NBVST,False,False,False,normclassNBVST_libnormFalse_znormFalse_learnableFalse
NBVST,False,False,True,normclassNBVST_libnormFalse_znormFalse_learnableTrue
NBVST,False,True,False,normclassNBVST_libnormFalse_znormTrue_learnableFalse
NBVST,False,True,True,normclassNBVST_libnormFalse_znormTrue_learnableTrue
NBVST,True,False,False,normclassNBVST_libnormTrue_znormFalse_learnableFalse
NBVST,True,False,True,normclassNBVST_libnormTrue_znormFalse_learnableTrue
NBVST,True,True,False,normclassNBVST_libnormTrue_znormTrue_learnableFalse
NBVST,True,True,True,normclassNBVST_libnormTrue_znormTrue_learnableTrue
