method,encoder_class,config,metric,mean,sd,ci
node,Linear,methodNode_encoderclassLinear,best_epoch,277.4,38.40963420809941,47.69185998037286
node,Linear,methodNode_encoderclassLinear,kld,100.30094909667969,8.589899924192107,10.6657694840426
node,Linear,methodNode_encoderclassLinear,loss,7.924073505401611,0.03773055373477719,0.04684867020476554
node,Linear,methodNode_encoderclassLinear,mae,0.5641282558441162,0.021507452647873695,0.026705029645937035
node,Linear,methodNode_encoderclassLinear,mse,0.8284112572669983,0.06198487635404486,0.07696438940192943
node,Linear,methodNode_encoderclassLinear,nb,7.927824783325195,0.0367778636279642,0.04566574919769086
node,Linear,methodNode_encoderclassLinear,num_epochs,287.2,26.38560213449752,32.762052241334025
node,Linear,methodNode_encoderclassLinear,r2,0.7833942174911499,0.013787836391206546,0.01711986006008491
node,Linear,methodNode_encoderclassLinear,rmse,0.9096597790718078,0.03410204522597548,0.042343281822210414
node,Linear,methodNode_encoderclassLinear,time,81.81487793922425,8.445896003229329,10.48696499978294
node,GCNConv,methodNode_encoderclassGCNConv,best_epoch,67.4,11.567194992737004,14.362569582684417
node,GCNConv,methodNode_encoderclassGCNConv,kld,66.52009811401368,13.54562824166175,16.81911892072359
node,GCNConv,methodNode_encoderclassGCNConv,loss,8.014559650421143,0.026158572775056302,0.03248015805918087
node,GCNConv,methodNode_encoderclassGCNConv,mae,0.6631474256515503,0.024789039800171324,0.030779658269913027
node,GCNConv,methodNode_encoderclassGCNConv,mse,1.1230258464813232,0.06859097837857853,0.08516694845425393
node,GCNConv,methodNode_encoderclassGCNConv,nb,8.016617012023925,0.028339648693244308,0.03518832150414379
node,GCNConv,methodNode_encoderclassGCNConv,num_epochs,116.0,11.247221879201991,13.965270487214825
node,GCNConv,methodNode_encoderclassGCNConv,r2,0.7062198996543885,0.017164317557195073,0.021312315164505942
node,GCNConv,methodNode_encoderclassGCNConv,rmse,1.0593327283859253,0.03240424303811418,0.04023518196947141
node,GCNConv,methodNode_encoderclassGCNConv,time,78.10313180908561,7.0362691042825265,8.736682028461077
node,GATConv,methodNode_encoderclassGATConv,best_epoch,65.0,7.516648189186453,9.333151443676353
node,GATConv,methodNode_encoderclassGATConv,kld,73.42989196777344,5.092958121670198,6.323742744037366
node,GATConv,methodNode_encoderclassGATConv,loss,7.988583374023437,0.03720880081166779,0.04620082838418293
node,GATConv,methodNode_encoderclassGATConv,mae,0.6453763008117676,0.01831921507157549,0.022746309829727113
node,GATConv,methodNode_encoderclassGATConv,mse,1.0696211218833924,0.04971780276634613,0.06173280576476765
node,GATConv,methodNode_encoderclassGATConv,nb,7.98780632019043,0.033786762360659424,0.041951806439096906
node,GATConv,methodNode_encoderclassGATConv,num_epochs,114.0,9.300537618869136,11.54814272528959
node,GATConv,methodNode_encoderclassGATConv,r2,0.7202290892601013,0.010707323014612904,0.013294897504383466
node,GATConv,methodNode_encoderclassGATConv,rmse,1.0339994192123414,0.02414433570448535,0.029979152404805226
node,GATConv,methodNode_encoderclassGATConv,time,98.31768998652697,8.060239963834794,10.008109779976893
set,Linear,methodSet_encoderclassLinear,best_epoch,196.0,36.62649314362487,45.47779791689611
set,Linear,methodSet_encoderclassLinear,kld,95.01883850097656,3.326817641101054,4.130789693544355
set,Linear,methodSet_encoderclassLinear,loss,7.869928646087646,0.027063279609985696,0.03360349996504139
set,Linear,methodSet_encoderclassLinear,mae,0.5514270186424255,0.015839767329482918,0.019667668832943158
set,Linear,methodSet_encoderclassLinear,mse,0.8082164406776429,0.0427487235256113,0.053079550970917946
set,Linear,methodSet_encoderclassLinear,nb,7.869647026062012,0.02335921123594082,0.029004291618104687
set,Linear,methodSet_encoderclassLinear,num_epochs,232.4,37.179295313386454,46.16419246921798
set,Linear,methodSet_encoderclassLinear,r2,0.7886286616325379,0.008980248335972576,0.011150451053706422
set,Linear,methodSet_encoderclassLinear,rmse,0.8987532615661621,0.02395420597022532,0.029743075158786512
set,Linear,methodSet_encoderclassLinear,time,130.10191421359778,22.420079818392892,27.838205947353302
set,GCNConv,methodSet_encoderclassGCNConv,best_epoch,104.4,24.90582261239327,30.924663283458006
set,GCNConv,methodSet_encoderclassGCNConv,kld,81.59916839599609,10.376972928627698,12.884713695812117
set,GCNConv,methodSet_encoderclassGCNConv,loss,7.947892522811889,0.024909240985639708,0.030928907754450397
set,GCNConv,methodSet_encoderclassGCNConv,mae,0.6153629779815674,0.018733721810430277,0.023260987924375958
set,GCNConv,methodSet_encoderclassGCNConv,mse,0.9820565938949585,0.05518954681481785,0.06852687335714068
set,GCNConv,methodSet_encoderclassGCNConv,nb,7.9466455459594725,0.02556179064358007,0.03173915517175522
set,GCNConv,methodSet_encoderclassGCNConv,num_epochs,141.8,27.994642344563,34.75993954183456
set,GCNConv,methodSet_encoderclassGCNConv,r2,0.7431471705436706,0.012395240600792914,0.015390724003078185
set,GCNConv,methodSet_encoderclassGCNConv,rmse,0.9906739592552185,0.027876744372591487,0.03461354987457631
set,GCNConv,methodSet_encoderclassGCNConv,time,134.42700075432657,25.294066431903392,31.40673165666884
set,GATConv,methodSet_encoderclassGATConv,best_epoch,96.6,17.86896751354146,22.1872536466371
set,GATConv,methodSet_encoderclassGATConv,kld,79.02666320800782,9.788602882380717,12.154155791765755
set,GATConv,methodSet_encoderclassGATConv,loss,7.955795478820801,0.015077484122450826,0.018721169218336012
set,GATConv,methodSet_encoderclassGATConv,mae,0.6208632111549377,0.014142832613061884,0.017560646088261044
set,GATConv,methodSet_encoderclassGATConv,mse,1.0012705445289611,0.040691424446609545,0.05052507677098369
set,GATConv,methodSet_encoderclassGATConv,nb,7.956617546081543,0.018886757879578553,0.02345100730186401
set,GATConv,methodSet_encoderclassGATConv,num_epochs,142.0,19.87460691435179,24.677583884002267
