embed_dim,num_heads,aggregate,config
64,1,concat,embeddim64_numheads1_aggregateConcat
64,1,mean,embeddim64_numheads1_aggregateMean
64,2,concat,embeddim64_numheads2_aggregateConcat
64,2,mean,embeddim64_numheads2_aggregateMean
64,4,concat,embeddim64_numheads4_aggregateConcat
64,4,mean,embeddim64_numheads4_aggregateMean
64,8,concat,embeddim64_numheads8_aggregateConcat
64,8,mean,embeddim64_numheads8_aggregateMean
128,1,concat,embeddim128_numheads1_aggregateConcat
128,1,mean,embeddim128_numheads1_aggregateMean
128,2,concat,embeddim128_numheads2_aggregateConcat
128,2,mean,embeddim128_numheads2_aggregateMean
128,4,concat,embeddim128_numheads4_aggregateConcat
128,4,mean,embeddim128_numheads4_aggregateMean
128,8,concat,embeddim128_numheads8_aggregateConcat
128,8,mean,embeddim128_numheads8_aggregateMean
256,1,concat,embeddim256_numheads1_aggregateConcat
256,1,mean,embeddim256_numheads1_aggregateMean
256,2,concat,embeddim256_numheads2_aggregateConcat
256,2,mean,embeddim256_numheads2_aggregateMean
256,4,concat,embeddim256_numheads4_aggregateConcat
256,4,mean,embeddim256_numheads4_aggregateMean
256,8,concat,embeddim256_numheads8_aggregateConcat
256,8,mean,embeddim256_numheads8_aggregateMean
