pooling_class,num_heads,aggregate,config,metric,mean,sd,ci
MultiheadSetPooling,1,concat,mh_numheads1_aggregateConcat,accuracy_cl,0.664380955696106,0.051394253281844014,0.019190929569540674
MultiheadSetPooling,1,concat,mh_numheads1_aggregateConcat,auroc_cl,0.8762999852498372,0.0353395292987566,0.013195997110298384
MultiheadSetPooling,1,concat,mh_numheads1_aggregateConcat,best_epoch_ae,205.2,77.02682022829943,28.762287368209954
MultiheadSetPooling,1,concat,mh_numheads1_aggregateConcat,best_epoch_cl,76.86666666666666,30.573521712178625,11.416340629634508
MultiheadSetPooling,1,concat,mh_numheads1_aggregateConcat,f1_cl,0.6131982525189718,0.062195222055755714,0.023224077592651906
MultiheadSetPooling,1,concat,mh_numheads1_aggregateConcat,loss_ae,10.722488220532735,14.41520433155247,5.382725760023636
MultiheadSetPooling,1,concat,mh_numheads1_aggregateConcat,loss_cl,1.2059390544891357,0.38774933257403604,0.14478798030700246
MultiheadSetPooling,1,concat,mh_numheads1_aggregateConcat,mae_ae,0.5689641296863556,0.028492266439229395,0.010639187138555111
MultiheadSetPooling,1,concat,mh_numheads1_aggregateConcat,mse_ae,0.8271143595377605,0.043335632161061635,0.0161817909892321
MultiheadSetPooling,1,concat,mh_numheads1_aggregateConcat,nb_ae,9.520945676167806,7.736844983525514,2.8889853959945473
MultiheadSetPooling,1,concat,mh_numheads1_aggregateConcat,num_epochs_ae,234.4,56.475566886684845,21.088323252380658
MultiheadSetPooling,1,concat,mh_numheads1_aggregateConcat,num_epochs_cl,119.03333333333333,24.247976571584115,9.054343255796137
MultiheadSetPooling,1,concat,mh_numheads1_aggregateConcat,precision_cl,0.6109486738840739,0.05979700804206243,0.022328569762679558
MultiheadSetPooling,1,concat,mh_numheads1_aggregateConcat,r2_ae,0.7842593332131703,0.01088513731116867,0.004064577071444948
MultiheadSetPooling,1,concat,mh_numheads1_aggregateConcat,recall_cl,0.6458816399176915,0.05929871438282603,0.022142503852413044
MultiheadSetPooling,1,concat,mh_numheads1_aggregateConcat,rmse_ae,0.9091607769330342,0.023657950895610676,0.008834024047542813
MultiheadSetPooling,1,concat,mh_numheads1_aggregateConcat,time_ae,62.607325132439534,14.739220905158458,5.5037155370194455
MultiheadSetPooling,1,concat,mh_numheads1_aggregateConcat,time_cl,31.65997685280939,7.002778081238549,2.614880309889585
MultiheadSetPooling,1,mean,mh_numheads1_aggregateMean,accuracy_cl,0.6676190455754598,0.05282362066065254,0.01972466412046961
MultiheadSetPooling,1,mean,mh_numheads1_aggregateMean,auroc_cl,0.8804458856582642,0.028315030167430626,0.010573006027009326
MultiheadSetPooling,1,mean,mh_numheads1_aggregateMean,best_epoch_ae,203.26666666666668,70.96280392029253,26.49794646539898
MultiheadSetPooling,1,mean,mh_numheads1_aggregateMean,best_epoch_cl,69.16666666666667,24.99666644441481,9.333908648839763
MultiheadSetPooling,1,mean,mh_numheads1_aggregateMean,f1_cl,0.6166083047787349,0.05959360074448299,0.02225261622950202
MultiheadSetPooling,1,mean,mh_numheads1_aggregateMean,loss_ae,8.09931972026825,0.4781655778929349,0.17854996117170516
MultiheadSetPooling,1,mean,mh_numheads1_aggregateMean,loss_cl,1.286908781528473,0.4743888030033137,0.17713969025076665
MultiheadSetPooling,1,mean,mh_numheads1_aggregateMean,mae_ae,0.5651262243588765,0.024846423893244755,0.009277807158230669
MultiheadSetPooling,1,mean,mh_numheads1_aggregateMean,mse_ae,0.829241152604421,0.041153139971619866,0.015366835012267927
MultiheadSetPooling,1,mean,mh_numheads1_aggregateMean,nb_ae,8.078812138239543,0.42169152997665543,0.15746220511219547
MultiheadSetPooling,1,mean,mh_numheads1_aggregateMean,num_epochs_ae,229.03333333333333,56.0686053486898,20.936361316668798
MultiheadSetPooling,1,mean,mh_numheads1_aggregateMean,num_epochs_cl,112.63333333333334,20.60378829133184,7.6935809884479935
MultiheadSetPooling,1,mean,mh_numheads1_aggregateMean,precision_cl,0.6112111896276474,0.061186414100071536,0.022847382511189042
MultiheadSetPooling,1,mean,mh_numheads1_aggregateMean,r2_ae,0.7837304055690766,0.00972777805524428,0.003632412022848987
MultiheadSetPooling,1,mean,mh_numheads1_aggregateMean,recall_cl,0.6492459694544475,0.05497788983671967,0.0205290814510419
MultiheadSetPooling,1,mean,mh_numheads1_aggregateMean,rmse_ae,0.9103541890780131,0.022660673804041815,0.008461634661502725
MultiheadSetPooling,1,mean,mh_numheads1_aggregateMean,time_ae,60.86044954061508,14.655170807920427,5.472330714915648
MultiheadSetPooling,1,mean,mh_numheads1_aggregateMean,time_cl,29.346129764243962,5.449663219589054,2.0349376894594573
MultiheadSetPooling,2,concat,mh_numheads2_aggregateConcat,accuracy_cl,0.6790476183096568,0.05071388313482229,0.018936875181375747
MultiheadSetPooling,2,concat,mh_numheads2_aggregateConcat,auroc_cl,0.8835148990154267,0.027403091547991937,0.010232482550164205
MultiheadSetPooling,2,concat,mh_numheads2_aggregateConcat,best_epoch_ae,216.9,73.79764971493522,27.556495281881446
