Top 50 Genes (Reconstruction) by Mean Attention,Top 50 Genes (Classification) by Mean Attention,Top 50 Genes (Reconstruction) by Residual,Top 50 Genes (Classification) by Residual,Top 50 Genes (Reconstruction) by Residual / Global Std,Top 50 Genes (Classification) by Residual / Global Std
MAPK3,ADCY9,CD40,ADCY9,PAH,ADH1B
ADCY9,GLS,CD40LG,GLS,GOT2,GSTM5
MAPK1,DGLUCY,ADCY9,DGLUCY,GLS,ADH1C
AKT2,ADH5,CD80,ADH5,SLC2A5,ALDH3A1
AKT3,AMACR,CD28,AMACR,MAOB,GLS
CD40,PHOSPHO2,GLS,PHOSPHO2,ALDH2,CD40
AKT1,NAT1,CD86,NAT1,IL4I1,CD40LG
CD40LG,GLUD1,GLUD1,GLUD1,ENPP1,HPGDS
PIK3CA,BTD,FAS,BTD,BTD,CD80
PIK3R1,CD40,BTD,CD40,B4GALT3,C3
PIK3CB,GSTM1,DGLUCY,GSTM1,BLVRB,MGST1
PIK3CD,HSD3B7,HLCS,HSD3B7,ALDH3B2,C4B
RELA,GLUL,FASLG,GLUL,ALDH7A1,GSTM2
PIK3R3,AOX1,GLUD2,AOX1,PCK1,DAG1
NFKB1,CD40LG,GLUL,CD40LG,TAT,GSTA1
MAP2K1,ADCY1,GOT2,LAMA1,FLAD1,DGAT1
PRKACA,LAMA1,IL4I1,DMD,CD40LG,ADCY4
ADCY5,ADCY5,GOT1,HLCS,ACSS1,ADCY9
GNAS,ADCY4,PHOSPHO2,PNPO,GOT1,ADCY3
FAS,TCF7L1,TAT,LAMA2,CD28,CD28
CD80,DMD,NAT1,TCF7L1,CD40,GSTO2
ADCY3,PRKACA,CPS1,CYP2A6,ALDH3A1,LEF1
PRKACB,LAMA2,MDM2,HADHA,ST3GAL3,C4A
NRAS,ADCY6,GNAS,ADCY1,CD86,ADCY5
CD28,HLCS,TP53,GLUD2,HK3,MAOA
TP53,PNPO,ADCY3,CYP2A7,PCK2,PHOSPHO2
ADCY4,CYP2A6,ADCY5,ADH1C,SELENOI,AGPAT2
RAF1,CTNNB1,ADCY4,HPGDS,AKR1B10,CD86
PLCB4,HADHA,AOX1,ADCY5,MAOA,HSD17B4
MAPK8,GLUD2,UGT2B15,HSD17B4,ATP2A3,HADHA
PLCB1,CYP2A7,CYP2A6,ALDH3A1,PABPC5,AGPAT1
ADCY6,ADH1C,PNPO,ADCY4,AKR1C1,PRKACB
PLCB3,HPGDS,PAH,PLAAT3,ENPP3,SELP
ADCY1,ALDH3A1,XDH,CPS1,HEPHL1,DGLUCY
FASLG,ADCY3,ENPP3,GSTM5,ADH1B,GSTM3
PLCB2,HSD17B4,ADCY6,XDH,LAMA2,DLD
IKBKB,PLAAT3,ENPP1,CTNNB1,AKR1B15,GSTT2B
HRAS,TP53,PCK1,ADCY6,PCYT1B,C3AR1
KRAS,GSTM5,ALDH1B1,ADH1B,DMD,KIF7
MAPK9,CPS1,ALDH3A2,PLPP3,ALDH9A1,HSD11B1
MAP2K2,XDH,SLC2A5,GSTA1,AGPAT2,DGAT2
GLS,ADCY2,CYP2A7,MGST3,GLUD2,LAMA1
CD86,ADH1B,PCK2,CD80,CTSG,CYP2C8
GNAQ,GSTA1,ATP2A2,ALDH3B1,UGT2B15,ADRB1
ADCY2,CD80,ADH5,PRKACA,ALDH3A2,ADCY1
PRKCA,MGST3,PRKACA,GSTP1,KLK1,MAOB
TNF,PLPP3,DLD,PLPP1,CEPT1,PLIN1
ADCY7,GNAS,ALDH7A1,CSAD,SLC7A11,MOGAT2
MAPK14,IGF1R,ALDH2,MGST2,ICAM1,PLPP2
PRKCB,PIK3R1,ALDH3A1,LOC105372824,B3GAT3,HADH
